spotify_id,name,uri,artist,acousticness,danceability,energy,instrumentalness,tempo,valence
1kLVlN7OZaJmUuXFEElcKM,Someone's Waiting For You,spotify:track:1kLVlN7OZaJmUuXFEElcKM,Shelby Flint,0.787,0.194,0.148,0.000164,82.829,0.152
0fIOacVe000P5pNhaKQlQw,Love Me Like You,spotify:track:0fIOacVe000P5pNhaKQlQw,Little Mix,0.208,0.785,0.674,0,106.058,0.848
5jlsg7onynIipVy5krMaRZ,Hair (feat. Sean Paul),spotify:track:5jlsg7onynIipVy5krMaRZ,Little Mix,0.00623,0.712,0.835,1.68e-06,153.956,0.741
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",spotify:track:6JV2JOEocMgcZxYSZelKcc,Justin Timberlake,0.0123,0.666,0.83,0,113.03,0.702
4eplXJXsYsNWdR5OdVWUiJ,To Love Somebody (2008 Remastered LP Version),spotify:track:4eplXJXsYsNWdR5OdVWUiJ,Bee Gees,0.61,0.398,0.494,1.12e-05,89.674,0.459
3G6LiloSWwbMN1zT3QvNsd,You Win Again,spotify:track:3G6LiloSWwbMN1zT3QvNsd,Bee Gees,0.0878,0.548,0.854,6.13e-06,168.611,0.927
4Hgn5GBgk7EQGIEwGoZorQ,Down,spotify:track:4Hgn5GBgk7EQGIEwGoZorQ,Marian Hill,0.69,0.599,0.352,0.00413,84.968,0.0598
6nQV4el6V7MXKnmcEA3c5Q,愛愛愛 (Acounstic Version) - Remix Acoustic Verison,spotify:track:6nQV4el6V7MXKnmcEA3c5Q,Khalil Fong,0.791,0.578,0.205,0,64.832,0.232
59lBAMCis4C6NsPdUV35Vz,愛愛愛,spotify:track:59lBAMCis4C6NsPdUV35Vz,Khalil Fong,0.4,0.473,0.459,0,66.37,0.346
3dRQjutL2sTHClE8nprdDW,Nature Boy - Acoustic,spotify:track:3dRQjutL2sTHClE8nprdDW,AURORA,0.806,0.391,0.0951,0.000368,76.664,0.2
3kWqznhkXth9dWhrMvPmsN,The Edge of Glory (Instrumental Version),spotify:track:3kWqznhkXth9dWhrMvPmsN,Divas Elite,0.000386,0.682,0.457,0.879,188.025,0.226
5YwqmMwulBVqt1zsM012Ah,Velocity,spotify:track:5YwqmMwulBVqt1zsM012Ah,Nathan Lanier,0.164,0.646,0.584,0.936,159.003,0.21
4aYs0TG0qiD25yLsx45Zvw,Marry You (feat. Megan Lee),spotify:track:4aYs0TG0qiD25yLsx45Zvw,Jason Chen,0.0305,0.596,0.754,0,144.529,0.359
1ZeVIrCWzEmsJexkrgvjFv,小幸運,spotify:track:1ZeVIrCWzEmsJexkrgvjFv,Hebe Tien,0.75,0.519,0.412,0,157.916,0.506
1oU4QiAXB0mW8aWx1tsfco,Goodbye,spotify:track:1oU4QiAXB0mW8aWx1tsfco,Who Is Fancy,0.0448,0.709,0.677,0.000584,114.997,0.644
4udc6XovxThag5LUUZfbiX,Ante Up,spotify:track:4udc6XovxThag5LUUZfbiX,M O P,0.00574,0.636,0.864,0,96.663,0.813
07rJ9xLSbBKLwJHW73CApr,Boys Like You,spotify:track:07rJ9xLSbBKLwJHW73CApr,Who Is Fancy,0.0855,0.731,0.595,0,104.927,0.793
0PAj9Y5kFEzhGeWkockoxv,Wild Things,spotify:track:0PAj9Y5kFEzhGeWkockoxv,Alessia Cara,0.02,0.741,0.626,0,108.029,0.706
64TysRUrLEIZmcJ9pg9QKw,말해! 뭐해?,spotify:track:64TysRUrLEIZmcJ9pg9QKw,K.Will,0.392,0.601,0.83,0,102.018,0.553
4T26o9LH1ifyfvbwNakJfw,Mononokehime,spotify:track:4T26o9LH1ifyfvbwNakJfw,All That Jazz,0.335,0.534,0.944,0.737,126.109,0.436
5uDwqrCceIk2ASXQhhMr3a,テルーの唄,spotify:track:5uDwqrCceIk2ASXQhhMr3a,All That Jazz,0.224,0.557,0.5,3.69e-05,137.945,0.491
5gF48Fe0isHZXjmTYPbELf,世界の約束,spotify:track:5gF48Fe0isHZXjmTYPbELf,All That Jazz,0.206,0.485,0.385,0.314,119.899,0.447
4PyiG4rIy0TgssUOsEfhO9,Jinsei No Merry Go Round,spotify:track:4PyiG4rIy0TgssUOsEfhO9,All That Jazz,0.537,0.385,0.581,0.151,126.65,0.335
6hejTHNzTOJI6awtoT9SFN,썸 Some,spotify:track:6hejTHNzTOJI6awtoT9SFN,Lena Park,0.86,0.444,0.299,0,145.549,0.303
